"자치구별(1)",자치구별(2),2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024,2025,2025,2025,2026,2026,2026,2027,2027,2027,2028,2028,2028,2029,2029,2029,2030,2030,2030,2031,2031,2031,2032,2032,2032,2033,2033,2033,2034,2034,2034,2035,2035,2035,2036,2036,2036,2037,2037,2037,2038,2038,2038,2039,2039,2039,2040,2040,2040
"자치구별(1)",자치구별(2),총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구,총인구
"자치구별(1)",자치구별(2),소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",도봉구,318960,154581,164379,310752,150205,160547,304805,147029,157776,300420,144660,155760,296960,142758,154202,294251,141266,152985,292191,140130,152061,290725,139320,151405,289367,138566,150801,288088,137866,150222,286892,137209,149683,285763,136600,149163,284681,136020,148661,283663,135468,148195,282698,134948,147750,281770,134444,147326,280828,133937,146891,279830,133404,146426,278757,132841,145916,277633,132265,145368,276418,131648,144770
"합계",노원구,516456,248765,267691,504709,242275,262434,495916,237650,258266,488572,233851,254721,482255,230492,251763,476853,227569,249284,472208,225009,247199,468274,222802,245472,464611,220756,243855,461189,218850,242339,458010,217076,240934,455034,215414,239620,452253,213857,238396,449631,212394,237237,447198,211027,236171,444897,209733,235164,442624,208472,234152,440324,207211,233113,437986,205951,232035,435599,204689,230910,433137,203411,229726
"합계",은평구,461528,221325,240203,458946,218897,240049,456486,217096,239390,454878,215767,239111,453471,214591,238880,452213,213566,238647,451046,212671,238375,449944,211891,238053,448826,211144,237682,447691,210419,237272,446544,209716,236828,445424,209040,236384,444332,208384,235948,443271,207759,235512,442238,207146,235092,441213,206540,234673,440134,205913,234221,438914,205224,233690,437564,204491,233073,436084,203701,232383,434440,202852,231588
"합계",서대문구,317188,148845,168343,313930,146718,167212,312135,145510,166625,308291,143709,164582,304985,142167,162818,302149,140871,161278,299679,139774,159905,297615,138885,158730,295770,138062,157708,294114,137288,156826,292672,136596,156076,291429,135969,155460,290374,135423,154951,289456,134944,154512,288633,134517,154116,287874,134112,153762,287086,133701,153385,286182,133249,152933,285139,132738,152401,283957,132176,151781,282629,131555,151074
"합계",마포구,367091,172139,194952,365136,170616,194520,361999,168848,193151,358810,167066,191744,356000,165465,190535,353509,164070,189439,351255,162843,188412,349203,161740,187463,347147,160671,186476,345117,159631,185486,343141,158629,184512,341241,157663,183578,339445,156747,182698,337758,155889,181869,336168,155075,181093,334655,154299,180356,333136,153516,179620,331532,152708,178824,329800,151854,177946,327945,150953,176992,325961,150009,175952
"합계",양천구,441402,216266,225136,435359,212752,222607,428236,208989,219247,424369,206781,217588,421246,204916,216330,418736,203364,215372,416622,202026,214596,414811,200859,213952,412963,199707,213256,411074,198562,212512,409151,197406,211745,407217,196255,210962,405308,195129,210179,403469,194054,209415,401695,193013,208682,400042,192037,208005,398438,191107,207331,396798,190168,206630,395147,189249,205898,393460,188338,205122,391750,187435,204315
"합계",강서구,569177,274022,295155,560939,269077,291862,555229,265463,289766,554566,264674,289892,554145,264079,290066,553983,263709,290274,554012,263519,290493,554182,263493,290689,554203,263418,290785,554031,263266,290765,553697,263020,290677,553172,262664,290508,552523,262228,290295,551751,261709,290042,550873,261127,289746,549933,260504,289429,548801,259783,289018,547425,258948,288477,545819,258004,287815,543970,256976,286994,541942,255905,286037
"합계",구로구,434846,216689,218157,429461,213777,215684,423976,210579,213397,417020,206559,210461,411626,203383,208243,407557,200954,206603,404541,199122,205419,402421,197781,204640,400426,196555,203871,398536,195417,203119,396716,194331,202385,394976,193296,201680,393288,192312,200976,391643,191367,200276,390020,190434,199586,388427,189524,198903,386782,188593,198189,385000,187602,197398,383120,186581,196539,381135,185518,195617,379041,184426,194615
"합계",금천구,249361,126753,122608,248029,125705,122324,248716,125683,123033,248038,125073,122965,246705,124187,122518,244822,123087,121735,242469,121793,120676,239728,120337,119391,237291,119045,118246,235096,117880,117216,233100,116806,116294,231295,115832,115463,229627,114917,114710,228116,114083,114033,226705,113290,113415,225405,112558,112847,224136,111842,112294,222851,111128,111723,221578,110423,111155,220249,109694,110555,218872,108961,109911
"합계",영등포구,399825,199084,200741,405738,201339,204399,403654,199838,203816,397320,196150,201170,391671,192934,198737,386595,190119,196476,381974,187650,194324,377706,185438,192268,373867,183460,190407,370357,181656,188701,367130,179982,187148,364157,178432,185725,361389,176975,184414,358812,175600,183212,356397,174301,182096,354156,173084,181072,351957,171894,180063,349735,170701,179034,347468,169497,177971,345138,168278,176860,342735,167048,175687
"합계",동작구,395249,190851,204398,389147,187697,201450,386502,186279,200223,383944,184977,198967,381596,183688,197908,379446,182445,197001,377469,181259,196210,375674,180141,195533,373938,179077,194861,372280,178074,194206,370746,177155,193591,369344,176310,193034,368056,175526,192530,366846,174797,192049,365721,174130,191591,364642,173490,191152,363497,172822,190675,362159,172097,190062,360644,171300,189344,358952,170441,188511,357056,169498,187558
"합계",관악구,505188,252234,252954,496221,247564,248657,493377,246481,246896,489080,244415,244665,484692,242202,242490,480294,239911,240383,475844,237570,238274,471376,235159,236217,467028,232817,234211,462810,230524,232286,458830,228327,230503,455197,226287,228910,451920,224408,227512,448991,222703,226288,446407,221189,225218,444109,219853,224256,441906,218596,223310,439641,217342,222299,437223,216071,221152,434606,214744,219862,431692,213312,218380
"합계",서초구,405077,193593,211484,396100,189262,206838,384567,183517,201050,383645,182872,200773,383165,182405,200760,382993,182084,200909,382957,181847,201110,382984,181648,201336,382668,181321,201347,382058,180878,201180,381255,180365,200890,380299,179804,200495,379266,179227,200039,378187,178648,199539,377107,178072,199035,376077,177539,198538,374999,176996,198003,373823,176420,197403,372571,175827,196744,371235,175204,196031,369810,174559,195251
"합계",강남구,509281,243637,265644,501576,239793,261783,501033,239606,261427,504077,241031,263046,506190,241880,264310,507421,242215,265206,507638,242021,265617,506818,241307,265511,505514,240429,265085,503735,239365,264370,501562,238126,263436,499102,236757,262345,496454,235324,261130,493750,233865,259885,491074,232435,258639,488502,231066,257436,486001,229755,256246,483539,228494,255045,481172,227323,253849,478855,226229,252626,476562,225189,251373
"합계",송파구,645798,311106,334692,633013,304088,328925,634836,304797,330039,638664,306338,332326,640159,306684,333475,639612,306056,333556,637259,304546,332713,633193,302251,330942,629414,300155,329259,625827,298212,327615,622386,296370,326016,619035,294603,324432,615811,292931,322880,612687,291314,321373,609702,289805,319897,606806,288341,318465,603885,286870,317015,600827,285375,315452,597607,283793,313814,594260,282158,312102,590828,280511,310317
"합계",강동구,443058,217797,225261,451998,221442,230556,447278,218402,228876,444193,216204,227989,441527,214345,227182,439125,212764,226361,436842,211376,225466,434616,210125,224491,432572,208983,223589,430667,207919,222748,428840,206898,221942,427072,205904,221168,425375,204955,220420,423739,204046,219693,422131,203155,218976,420547,202275,218272,418915,201401,217514,417186,200490,216696,415353,199537,215816,413415,198542,214873,411368,197521,213847
