"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"용산구","공원05-28(6) 21-1차(신계동55 신계역사공원)","공원05-28(6) 21-1차(신계동55 신계역사공원)","37.5351","126.9671","1","2022-12-01"
"용산구","공원05-28(7) (신계동55 신계역사공원)","공원05-28(7) (신계동55 신계역사공원)","37.5351","126.9664","1","2022-12-01"
"용산구","공원05-32(00) (문배동 24-1 문배어린이공원)","공원05-32(00) (문배동 24-1 문배어린이공원)","37.5367","126.9698","1","2022-12-01"
"용산구","공원06-09(00) 19-1차(원효로4가 87-2 문화원정자마당)","공원06-09(00) 19-1차(원효로4가 87-2 문화원정자마당)","37.5336","126.9519","1","2022-12-01"
"용산구","공원06-24(00) (원효로3가 1-139 원효어린이집 앞 늘푸른공원 내)","공원06-24(00) (원효로3가 1-139 원효어린이집 앞 늘푸른공원 내)","37.5348","126.9567","1","2022-12-01"
"용산구","공원06-32(00) 20-2차(산천동 30-3 산천동가로쉼터)","공원06-32(00) 20-2차(산천동 30-3 산천동가로쉼터)","37.5351","126.9530","1","2022-12-01"
"용산구","공원07-46(10) (롯데캐슬아파트 소공원)","공원07-46(10) (롯데캐슬아파트 소공원)","37.5405","126.9643","1","2022-12-01"
"용산구","공원07-46(50) (롯데캐슬아파트 대공원)","공원07-46(50) (롯데캐슬아파트 대공원)","37.5392","126.9627","1","2022-12-01"
"용산구","공원08-33(00) (도원동21 도원어린이공원)","공원08-33(00) (도원동21 도원어린이공원)","37.5371","126.9544","1","2022-12-01"
"용산구","공원08-35(00) 20-2차(도원동 21 도원어린이공원 놀이터)","공원08-35(00) 20-2차(도원동 21 도원어린이공원 놀이터)","37.5373","126.9548","1","2022-12-01"
"용산구","공원09-38(00) (용산동3가 1-96 삼각지 어린이공원내)","공원09-38(00) (용산동3가 1-96 삼각지 어린이공원내)","37.5344","126.9754","1","2022-12-01"
"용산구","공원09-40(00) 가(LG U+ 사옥 옆 공원)","공원09-40(00) 가(LG U+ 사옥 옆 공원)","37.5242","126.9635","1","2022-12-01"
"용산구","공원09-41(00) (LG U+ 사옥 옆 공원)","공원09-41(00) (LG U+ 사옥 옆 공원)","37.5242","126.9635","1","2022-12-01"
"용산구","공원09-44(10) (아모레퍼시픽옆 어린이공원)","공원09-44(10) (아모레퍼시픽옆 어린이공원)","37.5284","126.9694","1","2022-12-01"
"용산구","공원09-44(20) (아모레퍼시픽옆 어린이공원)","공원09-44(20) (아모레퍼시픽옆 어린이공원)","37.5287","126.9697","1","2022-12-01"
"용산구","공원09-44(30) (아모레퍼시픽옆 어린이공원)","공원09-44(30) (아모레퍼시픽옆 어린이공원)","37.5284","126.9696","1","2022-12-01"
"용산구","공원09-44(40) (아모레퍼시픽옆 어린이공원)","공원09-44(40) (아모레퍼시픽옆 어린이공원)","37.5283","126.9698","1","2022-12-01"
"용산구","공원09-49(00)(한강로3가 65-325 용산무역센터 내 공원)","공원09-49(00)(한강로3가 65-325 용산무역센터 내 공원)","37.5243","126.9637","1","2022-12-01"
"용산구","공원10-43(10) ((이촌동)삼성렉스아파트)","공원10-43(10) ((이촌동)삼성렉스아파트)","37.5174","126.9814","1","2022-12-01"
"용산구","공원10-43(20) ((이촌동)삼성렉스아파트)","공원10-43(20) ((이촌동)삼성렉스아파트)","37.5174","126.9814","1","2022-12-01"
"용산구","공원10-43(30) ((이촌동)삼성렉스아파트)","공원10-43(30) ((이촌동)삼성렉스아파트)","37.5174","126.9814","1","2022-12-01"
"용산구","공원10-43(40) ((이촌동)삼성렉스아파트)","공원10-43(40) ((이촌동)삼성렉스아파트)","37.5174","126.9814","1","2022-12-01"
"용산구","공원10-44(00) (이촌동 408 강변공원)","공원10-44(00) (이촌동 408 강변공원)","37.5215","126.9752","1","2022-12-01"
"용산구","공원10-46(00) (이촌동 429 사촌소공원)","공원10-46(00) (이촌동 429 사촌소공원)","37.5207","126.9706","1","2022-12-01"
"용산구","공원10-49(00) 20-2차(이촌동 425 청탑소공원)","공원10-49(00) 20-2차(이촌동 425 청탑소공원)","37.5177","126.9776","1","2022-12-01"
"용산구","공원11-17(00) (이촌동 206-1 새싹 어린이집 앞 공원)","공원11-17(00) (이촌동 206-1 새싹 어린이집 앞 공원)","37.5269","126.9545","1","2022-12-01"
"용산구","공원11-20(00) 20-2차(이촌동191 한강대교 주민쉼터)","공원11-20(00) 20-2차(이촌동191 한강대교 주민쉼터)","37.5227","126.9613","1","2022-12-01"
"용산구","공원13-05(B1) (이태원동 286-1 이태원어린이공원)","공원13-05(B1) (이태원동 286-1 이태원어린이공원)","37.5383","126.9895","1","2022-12-01"
"용산구","공원13-09(00) 20-2차(이태원동 258-467 라틴아메리카공원)","공원13-09(00) 20-2차(이태원동 258-467 라틴아메리카공원)","37.5407","126.9971","1","2022-12-01"
"용산구","공원13-21(00) 20-2차(이태원2동 463 소월길 어린이공원내)","공원13-21(00) 20-2차(이태원2동 463 소월길 어린이공원내)","37.5435","126.9894","1","2022-12-01"
"용산구","공원13-22(00) 20-2차(성남공원내부)","공원13-22(00) 20-2차(성남공원내부)","37.5437","126.9894","1","2022-12-01"
"용산구","공원13-32(00) (이태원동 191-3 이태원부군당역사공원내)","공원13-32(00) (이태원동 191-3 이태원부군당역사공원내)","37.5360","126.9897","1","2022-12-01"
"용산구","공원13-35(00) (이태원동 260-87 이태원마을숲소공원)","공원13-35(00) (이태원동 260-87 이태원마을숲소공원)","37.5413","126.9916","1","2022-12-01"
"용산구","공원13-36(00) (이태원동 286-1 이태원어린이공원)","공원13-36(00) (이태원동 286-1 이태원어린이공원)","37.5381","126.9892","1","2022-12-01"
"용산구","공원13-36(A1) (이태원동 290-2 이태원어린이공원 내 곰돌이 뒤)","공원13-36(A1) (이태원동 290-2 이태원어린이공원 내 곰돌이 뒤)","37.5382","126.9891","1","2022-12-01"
"용산구","공원14-29(00) (한남동 738-9 어린이놀이터)","공원14-29(00) (한남동 738-9 어린이놀이터)","37.5366","126.9995","1","2022-12-01"
"용산구","공원14-30(00) (한남동 738-9 어린이놀이터)","공원14-30(00) (한남동 738-9 어린이놀이터)","37.5366","126.9996","1","2022-12-01"
"용산구","공원14-52(00) (응봉근린공원매봉놀이마당)","공원14-52(00) (응봉근린공원매봉놀이마당)","37.5437","127.0044","1","2022-12-01"
