"항목","시점",전국
"지수 (2017.11 = 100.0)","2016.03",95.7
"지수 (2017.11 = 100.0)","2016.04",95.7
"지수 (2017.11 = 100.0)","2016.05",95.7
"지수 (2017.11 = 100.0)","2016.06",96.0
"지수 (2017.11 = 100.0)","2016.07",96.6
"지수 (2017.11 = 100.0)","2016.08",97.2
"지수 (2017.11 = 100.0)","2016.09",98.1
"지수 (2017.11 = 100.0)","2016.10",98.8
"지수 (2017.11 = 100.0)","2016.11",98.9
"지수 (2017.11 = 100.0)","2016.12",98.6
"지수 (2017.11 = 100.0)","2017.01",98.3
"지수 (2017.11 = 100.0)","2017.02",98.5
"지수 (2017.11 = 100.0)","2017.03",98.7
"지수 (2017.11 = 100.0)","2017.04",98.6
"지수 (2017.11 = 100.0)","2017.05",98.9
"지수 (2017.11 = 100.0)","2017.06",99.4
"지수 (2017.11 = 100.0)","2017.07",100.1
"지수 (2017.11 = 100.0)","2017.08",100.2
"지수 (2017.11 = 100.0)","2017.09",100.3
"지수 (2017.11 = 100.0)","2017.10",100.3
"지수 (2017.11 = 100.0)","2017.11",100.0
"지수 (2017.11 = 100.0)","2017.12",99.6
"지수 (2017.11 = 100.0)","2018.01",99.8
"지수 (2017.11 = 100.0)","2018.02",100.1
"지수 (2017.11 = 100.0)","2018.03",100.2
"지수 (2017.11 = 100.0)","2018.04",100.2
"지수 (2017.11 = 100.0)","2018.05",99.9
"지수 (2017.11 = 100.0)","2018.06",99.7
"지수 (2017.11 = 100.0)","2018.07",99.6
"지수 (2017.11 = 100.0)","2018.08",100.8
"지수 (2017.11 = 100.0)","2018.09",102.2
"지수 (2017.11 = 100.0)","2018.10",102.4
"지수 (2017.11 = 100.0)","2018.11",101.6
"지수 (2017.11 = 100.0)","2018.12",100.8
"지수 (2017.11 = 100.0)","2019.01",100.3
"지수 (2017.11 = 100.0)","2019.02",99.9
"지수 (2017.11 = 100.0)","2019.03",99.2
"지수 (2017.11 = 100.0)","2019.04",99.0
"지수 (2017.11 = 100.0)","2019.05",98.8
"지수 (2017.11 = 100.0)","2019.06",99.1
"지수 (2017.11 = 100.0)","2019.07",99.6
"지수 (2017.11 = 100.0)","2019.08",99.9
"지수 (2017.11 = 100.0)","2019.09",100.3
"지수 (2017.11 = 100.0)","2019.10",100.8
"지수 (2017.11 = 100.0)","2019.11",101.7
"지수 (2017.11 = 100.0)","2019.12",102.7
"지수 (2017.11 = 100.0)","2020.01",103.4
"지수 (2017.11 = 100.0)","2020.02",104.7
"지수 (2017.11 = 100.0)","2020.03",105.5
"지수 (2017.11 = 100.0)","2020.04",105.5
"지수 (2017.11 = 100.0)","2020.05",106.3
"지수 (2017.11 = 100.0)","2020.06",108.3
"지수 (2017.11 = 100.0)","2020.07",110.7
"지수 (2017.11 = 100.0)","2020.08",112.0
"지수 (2017.11 = 100.0)","2020.09",112.9
"지수 (2017.11 = 100.0)","2020.10",114.4
"지수 (2017.11 = 100.0)","2020.11",117.0
"지수 (2017.11 = 100.0)","2020.12",119.8
"지수 (2017.11 = 100.0)","2021.01",122.9
"지수 (2017.11 = 100.0)","2021.02",125.1
"지수 (2017.11 = 100.0)","2021.03",126.7
"지수 (2017.11 = 100.0)","2021.04",128.3
"지수 (2017.11 = 100.0)","2021.05",130.5
"지수 (2017.11 = 100.0)","2021.06",133.4
"지수 (2017.11 = 100.0)","2021.07",136.5
"지수 (2017.11 = 100.0)","2021.08",139.7
"지수 (2017.11 = 100.0)","2021.09",142.3
"지수 (2017.11 = 100.0)","2021.10",143.8
"지수 (2017.11 = 100.0)","2021.11",143.0
"지수 (2017.11 = 100.0)","2021.12",141.7
"지수 (2017.11 = 100.0)","2022.01",140.8
"지수 (2017.11 = 100.0)","2022.02",140.6
"지수 (2017.11 = 100.0)","2022.03",141.1
"지수 (2017.11 = 100.0)","2022.04",141.9
"지수 (2017.11 = 100.0)","2022.05",140.6
"지수 (2017.11 = 100.0)","2022.06",140.0
"지수 (2017.11 = 100.0)","2022.07",136.3
"지수 (2017.11 = 100.0)","2022.08",133.7
"지수 (2017.11 = 100.0)","2022.09",130.9
"지수 (2017.11 = 100.0)","2022.10",126.6
"지수 (2017.11 = 100.0)","2022.11",121.3
